x,y,cheb_y
0.050000,1.051271,1.052951
0.100000,1.105171,1.102401
0.150000,1.161834,1.156038
0.200000,1.221403,1.213862
0.250000,1.284025,1.275872
0.300000,1.349859,1.342068
0.350000,1.419068,1.412452
0.400000,1.491825,1.487022
0.450000,1.568312,1.565778
0.500000,1.648721,1.648721
0.550000,1.733253,1.735851
0.600000,1.822119,1.827167
0.650000,1.915541,1.922670
0.700000,2.013753,2.022360
0.750000,2.117000,2.126236
0.800000,2.225541,2.234299
0.850000,2.339647,2.346548
0.900000,2.459603,2.462984
0.950000,2.585710,2.583607
1.000000,2.718282,2.708416
