x,y,cheb_y
0.100000,0.000000,0.017654
0.200000,0.000000,-0.030496
0.300000,0.000000,-0.067098
0.400000,0.000000,-0.092154
0.500000,0.000000,-0.105662
0.600000,0.000000,-0.107624
0.700000,0.000000,-0.098038
0.800000,0.000000,-0.076906
0.900000,0.000000,-0.044226
1.000000,0.000000,-0.000000
1.100000,0.100000,0.055774
1.200000,0.200000,0.123094
1.300000,0.300000,0.201962
1.400000,0.400000,0.292376
1.500000,0.500000,0.394338
1.600000,0.600000,0.507846
1.700000,0.700000,0.632902
1.800000,0.800000,0.769504
1.900000,0.900000,0.917654
2.000000,1.000000,1.077350
